skos:notation,skos:prefLabel
abr,abridger
act,actor
adp,adapter
anl,analyst
anm,animator
ann,annotator
anc,announcer
apl,appellant
ape,appellee
app,applicant
arc,architect
arr,arranger
acp,art copyist
adi,art director
art,artist
ard,artistic director
asg,assignee
asn,associated name
fmo,former owner
att,attributed name
auc,auctioneer
aue,audio engineer
aup,audio producer
aut,author
aqt,author in quotations or text abstracts
aud,author of dialog
ato,autographer
ant,bibliographic antecedent
bnd,binder
bdd,binding designer
blw,blurb writer
bka,book artist
bkd,book designer
bkp,book producer
bjd,bookjacket designer
bpd,bookplate designer
bsl,bookseller
brl,braille embosser
brd,broadcaster
cll,calligrapher
cop,camera operator
ctg,cartographer
cas,caster
cad,casting director
cns,censor
chr,choreographer
cng,cinematographer
cli,client
cor,collection registrar
col,collector
clt,collotyper
clr,colorist
cmm,commentator
cwt,commentator for written text
com,compiler
cpl,complainant
cpt,complainant-appellant
cpe,complainant-appellee
cmp,composer
cmt,compositor
ccp,conceptor
cnd,conductor
con,conservator
csl,consultant
csp,consultant to a project
cos,contestant
cot,contestant-appellant
coe,contestant-appellee
cts,contestee
ctt,contestee-appellant
cte,contestee-appellee
ctr,contractor
ctb,contributor
cpc,copyright claimant
cph,copyright holder
crr,corrector
crp,correspondent
cst,costume designer
cou,court governed
crt,court reporter
cov,cover designer
cre,creator
cur,curator
dnc,dancer
dtc,data contributor
dtm,data manager
dte,dedicatee
dto,dedicator
dfd,defendant
dft,defendant-appellant
dfe,defendant-appellee
dgc,degree committee member
dgg,degree granting institution
dgs,degree supervisor
dln,delineator
dpc,depicted
dpt,depositor
dsr,designer
drt,director
dis,dissertant
dbp,distribution place
dst,distributor
djo,dj
dnr,donor
drm,draftsman
dbd,dubbing director
dub,dubious author
edt,editor
edc,editor of compilation
edm,editor of moving image work
edd,editorial director
elg,electrician
elt,electrotyper
enj,enacting jurisdiction
eng,engineer
egr,engraver
etr,etcher
evp,event place
exp,expert
fac,facsimilist
fld,field director
fmd,film director
fds,film distributor
flm,film editor
fmp,film producer
fmk,filmmaker
fpy,first party
frg,forger
fmo,former owner
fon,founder
fnd,funder
gdv,game developer
gis,geographic information specialist
hnr,honoree
hst,host
his,host institution
ilu,illuminator
ill,illustrator
ink,inker
ins,inscriber
itr,instrumentalist
ive,interviewee
ivr,interviewer
inv,inventor
isb,issuing body
jud,judge
jug,jurisdiction governed
lbr,laboratory
ldr,laboratory director
lsa,landscape architect
led,lead
len,lender
ltr,letterer
lil,libelant
lit,libelant-appellant
lie,libelant-appellee
lel,libelee
let,libelee-appellant
lee,libelee-appellee
lbt,librettist
lso,licensor
lgd,lighting designer
ltg,lithographer
lyr,lyricist
mka,makeup artist
mfp,manufacture place
mfr,manufacturer
mrb,marbler
mrk,markup editor
med,medium
mdc,metadata contact
mte,metal-engraver
mtk,minute taker
mxe,mixing engineer
mod,moderator
mon,monitor
mcp,music copyist
mup,music programmer
msd,musical director
mus,musician
nrt,narrator
nan,news anchor
onp,onscreen participant
osp,onscreen presenter
opn,opponent
orm,organizer
org,originator
oth,other
own,owner
pan,panelist
ppm,papermaker
pta,patent applicant
pth,patent holder
pat,patron
pnc,penciller
prf,performer
pma,permitting agency
pht,photographer
pad,place of address
ptf,plaintiff
ptt,plaintiff-appellant
pte,plaintiff-appellee
plt,platemaker
pra,praeses
pre,presenter
prt,printer
pop,printer of plates
prm,printmaker
prc,process contact
pro,producer
prn,production company
prs,production designer
pmn,production manager
prd,production personnel
prp,production place
prg,programmer
pdr,project director
pfr,proofreader
prv,provider
pbl,(eg. [mfr],
pup,publication place
pbl,publisher
pbd,publishing director
ppt,puppeteer
rdd,radio director
rpc,radio producer
rap,rapporteur
rce,recording engineer
rcd,recordist
red,redaktor
rxa,remix artist
ren,renderer
rpt,reporter
rps,repository
rth,research team head
rtm,research team member
res,researcher
rsp,respondent
rst,respondent-appellant
rse,respondent-appellee
rpy,responsible party
rsg,restager
rsr,restorationist
rev,reviewer
rbr,rubricator
sce,scenarist
sad,scientific advisor
aus,screenwriter
scr,scribe
fac,facsimilist
scl,sculptor
spy,second party
sec,secretary
sll,seller
std,set designer
stg,setting
sgn,signer
sng,singer
swd,software developer
sds,sound designer
sde,sound engineer
spk,speaker
sfx,special effects provider
spn,sponsor
sgd,stage director
stm,stage manager
stn,standards body
str,stereotyper
stl,storyteller
sht,supporting host
srv,surveyor
tch,teacher
tad,technical advisor
tcd,technical director
tld,television director
tlg,television guest
tlh,television host
tlp,television producer
tau,television writer
ths,thesis advisor
trc,transcriber
fac,facsimilist
trl,translator
tyd,type designer
tyg,typographer
uvp,university place
vdg,videographer
vfx,visual effects provider
vac,voice actor
wit,witness
wde,wood engraver
wdc,woodcutter
wam,writer of accompanying material
wac,writer of added commentary
wal,writer of added lyrics
wat,writer of added text
waw,writer of afterword
wfs,writer of film story
wfw,writer of foreword
wft,writer of intertitles
win,writer of introduction
wpr,writer of preface
wst,writer of supplementary textual content
wts,writer of television story 
